csa_name_mod2,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,worked_shifts_f30d,head_count_f30d,fill_rate_f30d,avg_days_between_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start
"Las Vegas-Henderson, NV",4,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
"Las Vegas-Henderson, NV",1,3,3,1.0000,1,3,9,0.3333,,0,-6,2022Q4
"Las Vegas-Henderson, NV",19,3,3,1.0000,34,20,212,0.0943,0.8485,415,206,2023Q1
"Las Vegas-Henderson, NV",20,2,2,1.0000,11,6,35,0.1714,0.5000,66,33,2023Q1
"Las Vegas-Henderson, NV",3,1,1,1.0000,7,3,8,0.3750,0.1667,6,-1,2023Q1
"Las Vegas-Henderson, NV",3,4,3,0.7500,55,21,781,0.0269,0.2778,495,-282,2023Q1
"Las Vegas-Henderson, NV",6,5,3,0.6000,1,3,15,0.2000,,0,-10,2023Q1
"Las Vegas-Henderson, NV",2,7,5,0.7143,7,13,217,0.0599,0.6667,43,-167,2023Q1
"Las Vegas-Henderson, NV",11,2,1,0.5000,1,1,2,0.5000,,0,0,2023Q1
"Las Vegas-Henderson, NV",33,3,4,1.3333,5,8,46,0.1739,1.2500,35,-8,2023Q2
"Las Vegas-Henderson, NV",2,1,1,1.0000,3,3,3,1.0000,2.0000,2,0,2023Q1
"Las Vegas-Henderson, NV",2,2,2,1.0000,1,2,4,0.5000,,14,12,2023Q1
"Las Vegas-Henderson, NV",3,1,1,1.0000,6,5,7,0.7143,1.4000,42,36,2023Q1
"Las Vegas-Henderson, NV",1,1,1,1.0000,16,19,179,0.1061,1.3333,471,293,2023Q1
"Las Vegas-Henderson, NV",3,1,1,1.0000,1,1,1,1.0000,,5,5,2023Q1
"Las Vegas-Henderson, NV",1,8,8,1.0000,2,9,65,0.1385,0.0000,1,-56,2023Q1
"Las Vegas-Henderson, NV",2,2,2,1.0000,2,4,8,0.5000,23.0000,80,74,2023Q1
"Las Vegas-Henderson, NV",13,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
"Las Vegas-Henderson, NV",1,3,3,1.0000,1,3,9,0.3333,,0,-6,2023Q2
"Las Vegas-Henderson, NV",4,3,3,1.0000,36,18,344,0.0523,0.6571,137,-204,2023Q2
"Las Vegas-Henderson, NV",1,2,2,1.0000,13,14,38,0.3684,2.2500,26,-10,2023Q2
"Las Vegas-Henderson, NV",19,2,3,1.5000,11,16,59,0.2712,2.5000,70,13,2023Q2
"Las Vegas-Henderson, NV",6,4,4,1.0000,1,4,16,0.2500,,3,-9,2023Q2
"Las Vegas-Henderson, NV",2,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
"Salt Lake City-Provo-Orem, UT",4,2,2,1.0000,1,2,4,0.5000,,3,1,2023Q2
"Salt Lake City-Provo-Orem, UT",2,4,5,1.2500,17,50,697,0.0717,1.1875,125,-568,2023Q1
"Salt Lake City-Provo-Orem, UT",43,2,2,1.0000,6,3,15,0.2000,,9,-4,2022Q3
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,5,2,5,0.4000,,26,22,2022Q3
"Salt Lake City-Provo-Orem, UT",6,2,2,1.0000,19,10,48,0.2083,,88,42,2022Q3
"Salt Lake City-Provo-Orem, UT",5,1,1,1.0000,4,1,4,0.2500,,3,0,2022Q3
"Salt Lake City-Provo-Orem, UT",48,1,1,1.0000,9,3,12,0.2500,,44,33,2022Q3
"Salt Lake City-Provo-Orem, UT",3,25,25,1.0000,18,157,5952,0.0264,,540,-5387,2022Q3
"Salt Lake City-Provo-Orem, UT",1,1,1,1.0000,5,6,8,0.7500,,42,35,2022Q3
"Salt Lake City-Provo-Orem, UT",5,2,2,1.0000,12,12,76,0.1579,,1462,1388,2022Q3
"Salt Lake City-Provo-Orem, UT",1,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
"Salt Lake City-Provo-Orem, UT",5,2,2,1.0000,24,8,30,0.2667,,275,247,2022Q3
"Salt Lake City-Provo-Orem, UT",4,2,3,1.5000,15,17,56,0.3036,,99,45,2022Q3
"Salt Lake City-Provo-Orem, UT",1,3,3,1.0000,16,11,119,0.0924,1.8000,158,42,2023Q2
"Salt Lake City-Provo-Orem, UT",9,1,3,3.0000,2,3,7,0.4286,,3,-3,2022Q3
"Salt Lake City-Provo-Orem, UT",1,4,5,1.2500,11,35,262,0.1336,,49,-209,2022Q3
"Salt Lake City-Provo-Orem, UT",4,7,7,1.0000,24,25,1491,0.0168,,329,-1155,2022Q3
"Salt Lake City-Provo-Orem, UT",5,3,3,1.0000,3,4,14,0.2857,,388,377,2022Q3
"Salt Lake City-Provo-Orem, UT",5,2,1,0.5000,2,2,3,0.6667,,3,2,2022Q3
"Salt Lake City-Provo-Orem, UT",4,2,2,1.0000,3,2,12,0.1667,,8,-2,2022Q3
"Salt Lake City-Provo-Orem, UT",2,1,2,2.0000,3,4,4,1.0000,,6,3,2022Q3
"Salt Lake City-Provo-Orem, UT",5,2,2,1.0000,25,9,65,0.1385,,82,19,2022Q3
"Salt Lake City-Provo-Orem, UT",2,1,1,1.0000,3,3,4,0.7500,,3,0,2022Q3
"Salt Lake City-Provo-Orem, UT",0,5,3,0.6000,2,10,71,0.1408,,45,-21,2022Q3
"Salt Lake City-Provo-Orem, UT",1,1,1,1.0000,15,15,15,1.0000,,111,97,2022Q3
"Salt Lake City-Provo-Orem, UT",3,3,3,1.0000,4,18,126,0.1429,,69,-54,2022Q4
"Salt Lake City-Provo-Orem, UT",1,3,3,1.0000,6,9,31,0.2903,,24,-4,2022Q3
"Salt Lake City-Provo-Orem, UT",2,1,2,2.0000,26,8,241,0.0332,,163,-77,2022Q3
"Salt Lake City-Provo-Orem, UT",2,4,4,1.0000,1,4,16,0.2500,,0,-12,2022Q3
"Salt Lake City-Provo-Orem, UT",1,1,1,1.0000,2,3,3,1.0000,,1,-1,2022Q3
"Salt Lake City-Provo-Orem, UT",4,5,6,1.2000,87,163,2622,0.0622,,5700,3083,2022Q3
"Salt Lake City-Provo-Orem, UT",7,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q3
"Salt Lake City-Provo-Orem, UT",3,1,1,1.0000,8,1,8,0.1250,,8,1,2022Q3
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,27,5,27,0.1852,,143,117,2022Q4
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,32,13,36,0.3611,,215,180,2022Q3
"Salt Lake City-Provo-Orem, UT",9,1,1,1.0000,1,1,1,1.0000,,2,2,2022Q4
"Salt Lake City-Provo-Orem, UT",1,1,2,2.0000,51,33,146,0.2260,,1696,1551,2022Q3
"Salt Lake City-Provo-Orem, UT",5,1,1,1.0000,8,3,20,0.1500,,180,161,2022Q4
"Salt Lake City-Provo-Orem, UT",1,6,6,1.0000,5,24,185,0.1297,,804,625,2022Q3
"Salt Lake City-Provo-Orem, UT",5,2,1,0.5000,5,6,14,0.4286,,262,250,2022Q3
"Salt Lake City-Provo-Orem, UT",3,75,26,0.3467,6,132,15353,0.0086,,472,-14806,2022Q3
"Salt Lake City-Provo-Orem, UT",8,6,6,1.0000,9,19,229,0.0830,,312,89,2022Q3
"Salt Lake City-Provo-Orem, UT",7,1,1,1.0000,2,1,2,0.5000,,1,0,2022Q3
"Salt Lake City-Provo-Orem, UT",1,4,4,1.0000,6,17,67,0.2537,,36,-27,2022Q3
"Salt Lake City-Provo-Orem, UT",2,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
"Salt Lake City-Provo-Orem, UT",3,2,2,1.0000,24,38,160,0.2375,,79,-79,2022Q4
"Salt Lake City-Provo-Orem, UT",4,2,1,0.5000,2,2,6,0.3333,,2,-2,2022Q4
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,5,5,5,1.0000,,4,0,2022Q4
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
"Salt Lake City-Provo-Orem, UT",3,2,2,1.0000,1,2,4,0.5000,,0,-2,2022Q4
"Salt Lake City-Provo-Orem, UT",2,1,1,1.0000,1,1,1,1.0000,,2,2,2022Q4
"Salt Lake City-Provo-Orem, UT",3,5,5,1.0000,4,9,31,0.2903,,36,10,2022Q4
"Salt Lake City-Provo-Orem, UT",10,1,2,2.0000,7,6,23,0.2609,,97,75,2022Q4
"Salt Lake City-Provo-Orem, UT",1,2,3,1.5000,3,6,12,0.5000,,27,17,2022Q4
"Salt Lake City-Provo-Orem, UT",1,2,4,2.0000,31,23,1761,0.0131,,470,-1289,2022Q4
"Salt Lake City-Provo-Orem, UT",3,4,4,1.0000,9,7,120,0.0583,,46,-70,2022Q4
"Salt Lake City-Provo-Orem, UT",1,5,1,0.2000,5,4,67,0.0597,,1051,989,2022Q4
"Salt Lake City-Provo-Orem, UT",6,1,1,1.0000,7,4,8,0.5000,3.5000,27,20,2023Q2
"Salt Lake City-Provo-Orem, UT",6,1,1,1.0000,4,2,4,0.5000,,3,0,2022Q4
"Salt Lake City-Provo-Orem, UT",2,3,3,1.0000,3,6,19,0.3158,11.0000,47,31,2023Q2
"Salt Lake City-Provo-Orem, UT",4,2,4,2.0000,1,4,8,0.5000,,16,10,2022Q4
"Salt Lake City-Provo-Orem, UT",12,2,2,1.0000,6,7,18,0.3889,,10,-6,2022Q4
"Salt Lake City-Provo-Orem, UT",1,2,2,1.0000,2,3,6,0.5000,1.0000,2,-2,2023Q1
"Salt Lake City-Provo-Orem, UT",8,1,1,1.0000,14,2,14,0.1429,,23,10,2022Q4
"Salt Lake City-Provo-Orem, UT",30,2,1,0.5000,3,3,12,0.2500,,1771,1761,2022Q4
"Salt Lake City-Provo-Orem, UT",6,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
"Salt Lake City-Provo-Orem, UT",2,7,7,1.0000,16,42,311,0.1350,,233,-71,2022Q4
"Salt Lake City-Provo-Orem, UT",0,3,5,1.6667,8,21,71,0.2958,,223,155,2022Q4
"Salt Lake City-Provo-Orem, UT",3,1,1,1.0000,3,3,3,1.0000,4.0000,3,1,2023Q1
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,42,17,157,0.1083,,82,-74,2022Q4
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
"Salt Lake City-Provo-Orem, UT",1,2,4,2.0000,21,6,43,0.1395,1.0000,177,136,2022Q4
"Salt Lake City-Provo-Orem, UT",2,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
"Salt Lake City-Provo-Orem, UT",1,1,1,1.0000,1,1,1,1.0000,,0,0,2022Q4
"Salt Lake City-Provo-Orem, UT",6,3,4,1.3333,23,15,161,0.0932,1.3182,129,-29,2023Q1
"Salt Lake City-Provo-Orem, UT",4,2,2,1.0000,2,4,8,0.5000,16.0000,19,13,2023Q1
"Salt Lake City-Provo-Orem, UT",14,31,37,1.1935,6,71,2170,0.0327,3.7500,364,-1775,2022Q4
"Salt Lake City-Provo-Orem, UT",14,2,2,1.0000,15,6,40,0.1500,2.0714,26,-12,2023Q1
"Salt Lake City-Provo-Orem, UT",2,1,1,1.0000,9,6,9,0.6667,3.5000,379,371,2023Q1
"Salt Lake City-Provo-Orem, UT",12,2,2,1.0000,11,5,14,0.3571,2.3000,83,71,2023Q1
"Salt Lake City-Provo-Orem, UT",1,2,3,1.5000,7,18,44,0.4091,1.8333,25,-17,2023Q1
"Salt Lake City-Provo-Orem, UT",6,1,1,1.0000,2,3,5,0.6000,18.0000,11,7,2023Q1
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,78,24,521,0.0461,0.1169,4790,4270,2023Q1
"Salt Lake City-Provo-Orem, UT",18,2,3,1.5000,9,14,86,0.1628,1.2500,20,-64,2023Q1
"Salt Lake City-Provo-Orem, UT",32,3,3,1.0000,23,9,412,0.0218,1.2273,1399,990,2023Q1
"Salt Lake City-Provo-Orem, UT",3,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
"Salt Lake City-Provo-Orem, UT",2,1,1,1.0000,1,1,1,1.0000,,10,10,2023Q1
"Salt Lake City-Provo-Orem, UT",4,1,2,2.0000,1,2,2,1.0000,,101,100,2023Q1
"Salt Lake City-Provo-Orem, UT",9,12,12,1.0000,21,62,1786,0.0347,1.0000,416,-1358,2023Q1
"Salt Lake City-Provo-Orem, UT",4,5,5,1.0000,1,5,25,0.2000,,0,-20,2023Q1
"Salt Lake City-Provo-Orem, UT",52,4,5,1.2500,7,11,42,0.2619,3.1667,14,-24,2023Q1
"Salt Lake City-Provo-Orem, UT",0,2,2,1.0000,4,5,10,0.5000,3.3333,7,-1,2023Q1
"Salt Lake City-Provo-Orem, UT",8,5,6,1.2000,5,25,130,0.1923,5.5000,100,-25,2023Q1
"Salt Lake City-Provo-Orem, UT",5,1,2,2.0000,2,3,3,1.0000,1.0000,83,81,2023Q1
"Salt Lake City-Provo-Orem, UT",1,3,3,1.0000,28,24,166,0.1446,1.0370,862,699,2023Q1
"Salt Lake City-Provo-Orem, UT",7,2,2,1.0000,9,9,24,0.3750,3.3750,21,-1,2023Q1
"Salt Lake City-Provo-Orem, UT",82,6,8,1.3333,2,13,76,0.1711,3.0000,31,-39,2023Q2
"Salt Lake City-Provo-Orem, UT",7,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
"Salt Lake City-Provo-Orem, UT",3,1,1,1.0000,16,2,16,0.1250,1.7333,158,143,2023Q1
"Salt Lake City-Provo-Orem, UT",1,11,11,1.0000,4,35,542,0.0646,3.0000,34,-497,2023Q1
"Salt Lake City-Provo-Orem, UT",8,3,2,0.6667,2,2,10,0.2000,1.0000,2,-5,2023Q1
"Salt Lake City-Provo-Orem, UT",10,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
"Salt Lake City-Provo-Orem, UT",9,1,1,1.0000,5,4,5,0.8000,1.7500,4,0,2023Q1
"Salt Lake City-Provo-Orem, UT",6,1,1,1.0000,6,6,6,1.0000,1.4000,5,0,2023Q1
"Salt Lake City-Provo-Orem, UT",1,2,4,2.0000,19,16,42,0.3810,1.5556,124,84,2023Q1
"Salt Lake City-Provo-Orem, UT",2,5,5,1.0000,87,72,1384,0.0520,0.1395,3810,2431,2023Q1
"Salt Lake City-Provo-Orem, UT",1,4,5,1.2500,3,13,100,0.1300,10.5000,30,-66,2023Q2
"Salt Lake City-Provo-Orem, UT",16,1,1,1.0000,7,9,12,0.7500,3.1667,32,21,2023Q2
"Salt Lake City-Provo-Orem, UT",7,10,2,0.2000,10,51,673,0.0758,2.1111,263,-400,2023Q2
"Salt Lake City-Provo-Orem, UT",2,4,4,1.0000,2,5,19,0.2632,21.0000,3,-12,2023Q2
"Salt Lake City-Provo-Orem, UT",1,2,2,1.0000,16,18,327,0.0550,1.8000,196,-129,2023Q2
"Salt Lake City-Provo-Orem, UT",3,3,3,1.0000,3,11,36,0.3056,1.0000,10,-23,2023Q2
"Salt Lake City-Provo-Orem, UT",7,4,4,1.0000,2,4,28,0.1429,1.0000,3,-21,2023Q2
"Salt Lake City-Provo-Orem, UT",1,4,4,1.0000,13,39,491,0.0794,2.0000,67,-420,2023Q2
"Salt Lake City-Provo-Orem, UT",6,1,2,2.0000,11,3,52,0.0577,1.5000,53,2,2023Q2
"Salt Lake City-Provo-Orem, UT",4,1,1,1.0000,2,2,2,1.0000,2.0000,1,0,2023Q2
"Salt Lake City-Provo-Orem, UT",3,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
"Salt Lake City-Provo-Orem, UT",1,1,1,1.0000,5,7,22,0.3182,2.7500,16,-5,2023Q2
"Salt Lake City-Provo-Orem, UT",5,2,2,1.0000,4,3,7,0.4286,7.0000,58,53,2023Q2
"Salt Lake City-Provo-Orem, UT",18,7,6,0.8571,22,55,587,0.0937,1.3810,569,-11,2023Q2
"Salt Lake City-Provo-Orem, UT",19,1,1,1.0000,1,1,1,1.0000,,8,8,2023Q2
"Salt Lake City-Provo-Orem, UT",4,2,4,2.0000,13,20,102,0.1961,1.8333,338,238,2023Q2
"Salt Lake City-Provo-Orem, UT",8,6,6,1.0000,2,7,40,0.1750,3.0000,31,-3,2023Q2
"Salt Lake City-Provo-Orem, UT",2,2,3,1.5000,7,11,19,0.5789,2.1667,49,32,2023Q2
"Salt Lake City-Provo-Orem, UT",8,3,3,1.0000,4,3,12,0.2500,4.3333,3,-6,2023Q2
"Salt Lake City-Provo-Orem, UT",22,1,1,1.0000,4,2,4,0.5000,1.0000,14,11,2023Q2
"Salt Lake City-Provo-Orem, UT",5,1,1,1.0000,4,4,4,1.0000,3.3333,3,0,2023Q2
"Salt Lake City-Provo-Orem, UT",20,4,3,0.7500,1,3,12,0.2500,,0,-8,2023Q2
"Salt Lake City-Provo-Orem, UT",1,1,1,1.0000,3,3,3,1.0000,2.0000,3,1,2023Q2
"Salt Lake City-Provo-Orem, UT",6,1,1,1.0000,2,2,2,1.0000,0.0000,1,0,2023Q2
"Salt Lake City-Provo-Orem, UT",1,1,1,1.0000,2,2,2,1.0000,0.0000,2,1,2023Q2
"Salt Lake City-Provo-Orem, UT",5,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q2
"Salt Lake City-Provo-Orem, UT",7,1,1,1.0000,7,5,13,0.3846,2.0000,10,-2,2023Q2
