csa_name_mod2,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,worked_shifts_f30d,head_count_f30d,fill_rate_f30d,avg_days_between_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start
All Other Markets Combined,1,3,2,0.6667,4,2,16,0.1250,1.6667,6,-7,2023Q1
All Other Markets Combined,2,1,1,1.0000,2,3,5,0.6000,0.0000,2,-2,2023Q1
All Other Markets Combined,1,5,3,0.6000,3,5,20,0.2500,7.0000,3,-12,2023Q1
All Other Markets Combined,2,1,1,1.0000,1,1,1,1.0000,,1,1,2023Q1
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
All Other Markets Combined,50,4,4,1.0000,2,5,18,0.2778,17.0000,6,-8,2023Q1
All Other Markets Combined,2,1,1,1.0000,4,2,4,0.5000,3.6667,13,10,2023Q1
All Other Markets Combined,15,1,1,1.0000,1,1,1,1.0000,,1,1,2023Q1
All Other Markets Combined,2,1,1,1.0000,15,3,15,0.2000,1.3571,21,7,2023Q1
All Other Markets Combined,1,1,1,1.0000,5,6,8,0.7500,5.0000,10,3,2023Q1
All Other Markets Combined,19,1,1,1.0000,1,1,1,1.0000,,0,0,2023Q1
All Other Markets Combined,1,8,8,1.0000,19,36,264,0.1364,1.3333,82,-174,2023Q1
All Other Markets Combined,31,1,1,1.0000,8,4,8,0.5000,2.2857,109,102,2023Q2
All Other Markets Combined,1,1,1,1.0000,2,1,2,0.5000,1.0000,1,0,2023Q1
All Other Markets Combined,1,1,1,1.0000,3,5,11,0.4545,7.0000,9,-1,2023Q2
All Other Markets Combined,4,1,1,1.0000,4,2,4,0.5000,5.0000,5,2,2023Q2
All Other Markets Combined,13,5,6,1.2000,2,11,55,0.2000,1.0000,5,-45,2023Q2
All Other Markets Combined,2,17,11,0.6471,17,18,403,0.0447,1.5000,56,-330,2023Q1
All Other Markets Combined,1,1,2,2.0000,6,7,7,1.0000,1.4000,6,0,2023Q1
All Other Markets Combined,11,3,2,0.6667,3,9,40,0.2250,10.0000,196,159,2023Q1
All Other Markets Combined,2,3,2,0.6667,1,2,6,0.3333,,0,-3,2023Q1
All Other Markets Combined,5,2,1,0.5000,9,7,29,0.2414,2.3750,23,-4,2023Q1
All Other Markets Combined,8,1,1,1.0000,1,1,1,1.0000,,2,2,2023Q1
All Other Markets Combined,3,1,1,1.0000,3,1,3,0.3333,6.5000,2,0,2023Q1
All Other Markets Combined,8,12,10,0.8333,4,12,129,0.0930,9.0000,40,-77,2023Q1
All Other Markets Combined,6,4,3,0.7500,2,7,20,0.3500,1.0000,2,-14,2023Q1
All Other Markets Combined,16,2,3,1.5000,1,3,6,0.5000,,0,-4,2023Q2
All Other Markets Combined,7,1,2,2.0000,1,2,2,1.0000,,15,14,2023Q1
All Other Markets Combined,93,1,1,1.0000,9,9,23,0.3913,3.1250,17,-5,2023Q2
All Other Markets Combined,1,2,2,1.0000,2,3,6,0.5000,13.0000,3,-1,2023Q2
All Other Markets Combined,1,1,1,1.0000,1,1,1,1.0000,,6,6,2023Q2
All Other Markets Combined,9,4,1,0.2500,3,2,8,0.2500,5.5000,11,7,2023Q1
All Other Markets Combined,4,2,1,0.5000,1,1,2,0.5000,,0,0,2023Q1
All Other Markets Combined,2,2,1,0.5000,1,1,2,0.5000,,2,2,2023Q1
All Other Markets Combined,9,2,4,2.0000,5,8,27,0.2963,3.7500,95,70,2023Q1
