csa_name_mod2_x,company_id,company_name_x,shift_lead_time_fs,head_count_requested_fs,head_count_worked_fs,fill_rate_fs,total_shifts_f30d,total_head_count_minus_fs,total_head_count_minus_f30d,year_quarter_comp_start_x,head_count_worked_f30d,head_count_requested_f30d,fill_rate_f30d,shifts_worked_f30d,avg_days_between_shifts_f30d,csa_name_mod2_y,company_name_y,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start_y
All Other Markets Combined,4366,1-800 WATER DAMAGE of South Side Chicago,1,1,1,1.0,6,19,8,2023Q1,8,12,0.6667,6,3.8,All Other Markets Combined,1-800 WATER DAMAGE of South Side Chicago,16.0,19.0,0.8421,Janitorial,1.4286,17.0,5.125,687.07,19.5455,20.0,2023Q1
"Salt Lake City-Provo-Orem, UT",4371,Pacificolor,48,1,1,1.0,9,44,33,2022Q3,11,12,0.9167,9,3.0,"Salt Lake City-Provo-Orem, UT",Pacificolor,22.0,22.0,1.0,Manufacturing,1.0,17.0,1.1154,990.02,10.0476,22.0,2022Q3
"Salt Lake City-Provo-Orem, UT",4375,Panther Security,3,25,25,1.0,18,540,-5387,2022Q3,239,5952,0.0402,18,1.5882,"Salt Lake City-Provo-Orem, UT",Panther Security,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4377,Corner Bakery Orem,1,1,1,1.0,5,42,35,2022Q3,6,8,0.75,5,2.0,"Salt Lake City-Provo-Orem, UT",Corner Bakery Orem,,,,,,,,,,,2022Q3
All Other Markets Combined,4383,Scandinavian Designs Corporate,6,2,3,1.5,22,267,193,2022Q3,38,76,0.5,22,1.2857,All Other Markets Combined,Scandinavian Designs Corporate,121.0,126.0,0.9603,Sales,1.6981,18.18867924528302,13.25,6468.65,1.3846,90.0,2022Q3
"Dallas-Fort Worth, TX-OK",4385,Tex-Sun Shade Specialties Inc.,14,3,2,0.6667,13,46,-1,2022Q3,21,50,0.42,13,1.8333,"Dallas-Fort Worth, TX-OK",Tex-Sun Shade Specialties Inc.,20.0,25.0,0.8,Warehouse,1.3158,17.0,2.5,937.36,4.1667,25.0,2022Q3
All Other Markets Combined,4386,Wedding Elegance by Design,1,2,3,1.5,1,0,-4,2022Q3,3,6,0.5,1,,All Other Markets Combined,Wedding Elegance by Design,,,,,,,,,,,2022Q3
All Other Markets Combined,4387,Designers Warehouse Services,4,1,1,1.0,10,19,2,2022Q3,11,18,0.6111,10,1.1111,All Other Markets Combined,Designers Warehouse Services,,,,,,,,,,,2022Q3
All Other Markets Combined,4390,Trave'z Remodeling Crew,0,1,1,1.0,23,22,0,2022Q3,23,23,1.0,23,0.0,All Other Markets Combined,Trave'z Remodeling Crew,,,,,,,,,,,2022Q3
"Salt Lake City-Provo-Orem, UT",4391,WEBB Productions,5,2,2,1.0,12,1462,1388,2022Q3,25,76,0.3289,12,2.4545,"Salt Lake City-Provo-Orem, UT",WEBB Productions,1023.0,1066.0,0.9597,Entertainment,2.7727,18.55744949494949,11.708,56198.14,0.7021,1098.0,2022Q3
