csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start
"Salt Lake City-Provo-Orem, UT",338,AosePnCpk- a,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",339,beeat nlluLFmhiT lf,739.0,831.0,0.8893,Warehouse,1.3766,14.88271103896104,5.8022,19107.1,0.2928,848.0,2020Q1
All Other Markets Combined,339,lhluLaibtefTmnFel  ,739.0,831.0,0.8893,Warehouse,1.3766,14.88271103896104,5.8022,19107.1,0.2928,848.0,2020Q1
"Salt Lake City-Provo-Orem, UT",340,rcnNilOicu ruttigeaa,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",343,hlopoegEge tTnu Grs,,,,,,,,,,,2020Q3
"Dallas-Fort Worth, TX-OK",344, rWSroe LT otaesrhandk,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",346,ufy CShmmG trBtah eteuore,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",347,yRsaWedei,129.0,133.0,0.9699,Manufacturing,4.1379,15.0,4.2333,5267.85,9.9615,120.0,2020Q1
"Salt Lake City-Provo-Orem, UT",348,os iusIerdtnuRn,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",349,tog cutnlnclllCrosi niosC,19.0,19.0,1.0,Construction,1.1176,19.647058823529413,2.2381,861.38,6.9375,19.0,2020Q1
"Salt Lake City-Provo-Orem, UT",350,lao tnBrsotiwwienCn,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",351,estnoMolLuCh eg rL,,,,,,,,,,,2021Q2
"Salt Lake City-Provo-Orem, UT",352, tiLrInniCLnsoifCe iat,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",353,in ayos gmscIcMrseItem,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",355,tedoeBBIsr t  teaWrex,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",357,kweazoPiN sc,72.0,74.0,0.973,Manufacturing,1.3818,17.01818181818182,4.1184,2619.04,5.6154,76.0,2020Q2
"Salt Lake City-Provo-Orem, UT",358,Batnrwel Lu,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",359,"nia eCfMgLLaneru tlt,ucmSnira",,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",361,tEoisQunSssLriheBeC Ms B  Ls,,,,,,,,,,,2020Q2
All Other Markets Combined,361, sehBsrenuisiS soL  ELtQMsCB,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",362,lDFimvaryerox eb,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",366, tlneoiu olngESodgsG,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",367,"snASsn,aaaeo.lgcdlp ncs niIL ",,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",368,ieopPGlnape,,,,,,,,,,,2020Q2
