csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,avg_head_count,avg_hourly_wage,avg_shift_lead,2023_rev,avg_days_between_shifts,total_head_count,year_quarter_comp_start
"Salt Lake City-Provo-Orem, UT",287,SOS Disaster Services Inc.,3,3,1.0000,Construction,3.0000,17,4.5000,171.31,,3,2020Q1
"Dallas-Fort Worth, TX-OK",289,Saintsbury Tavern,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",290,Downeast Corporate,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",296,Mint Housekeeping,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",297,DownEast Outfitters,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",298,Utah Valley Convention Center - Custodial,161,166,0.9699,Events,1.9740,13.571428571428571,6.0941,3976.54,3.1974,152,2020Q1
All Other Markets Combined,301,Eco cleaning company,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",304,Momentum Shipping Co,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",306,September Group LLC,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",307,Wallsburg Farms,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",313,Barlow Window Bros LLC,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",315,Mapleton Floral & Gifts,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",316,House of Blues Dallas/ Live Nation,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",321,BD Turner and Company,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",322,"Kala Packaging, LLC",,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",324,Elite Ops,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",327,Downeast Millcreek,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",330,Freezing Point LLC,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",335,ADP Lemco,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",337,Snowline Packaging Solutions,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",338,Aspen Co-Pak,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",339,The Fulfillment Lab,739,831,0.8893,Warehouse,1.3766,14.88271103896104,5.8022,19107.1,0.2928,848,2020Q1
All Other Markets Combined,339,The Fulfillment Lab,739,831,0.8893,Warehouse,1.3766,14.88271103896104,5.8022,19107.1,0.2928,848,2020Q1
"Salt Lake City-Provo-Orem, UT",340,Origin Nutraceutical,,,,,,,,,,,2020Q1
"Dallas-Fort Worth, TX-OK",343,The Eggleston Group,,,,,,,,,,,2020Q3
"Dallas-Fort Worth, TX-OK",344,Lone Star Thread Works,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",346,Chef Shamy Gourmet Butter,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",347,ReadyWise,129,133,0.9699,Manufacturing,4.1379,15,4.2333,5267.85,9.9615,120,2020Q1
"Salt Lake City-Provo-Orem, UT",348,Runo Industries,,,,,,,,,,,2020Q1
"Salt Lake City-Provo-Orem, UT",349,Collings Construction llc,19,19,1.0000,Construction,1.1176,19.647058823529413,2.2381,861.38,6.9375,19,2020Q1
"Salt Lake City-Provo-Orem, UT",350,Blowtwin Containers,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",351,Mothers lounge LLC,,,,,,,,,,,2021Q2
"Salt Lake City-Provo-Orem, UT",352,Infiniti Creations LLC,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",353,Image Microsystems Inc,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",355,Boxed Water Is Better,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",357,Packsize Now,72,74,0.9730,Manufacturing,1.3818,17.01818181818182,4.1184,2619.04,5.6154,76,2020Q2
"Salt Lake City-Provo-Orem, UT",358,Lawn Butler,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",359,"Streamline Manufacturing, LLC",,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",361,Miss Essies Southern BBQ LLC,,,,,,,,,,,2020Q2
All Other Markets Combined,361,Miss Essies Southern BBQ LLC,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",362,Farmbox Delivery,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",366,Golden Egg Solutions,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",367,"All Seasons Landscaping, Inc.",,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",368,GoPineapple,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",369,Intermountain Nutrition,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",370,Polymershapes Salt Lake City,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",373,All States Landscaping,,,,,,,,,,,2020Q2
All Other Markets Combined,374,Good Apple,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",375,Selery Fulfillment,61,67,0.9104,Warehouse,3.0526,16.473684210526315,8.0800,1690.66,13.3333,58,2020Q3
"Salt Lake City-Provo-Orem, UT",377,Nutrix International,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",378,Full Stack Fulfillment,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",379,OnSiteIQ,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",387,Metro Auto Auction Dallas,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",388,Signs.com,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",390,Firemanmovers LLC,59,61,0.9672,Delivery,1.0862,17,3.9565,2826.51,5.1273,63,2020Q2
"Salt Lake City-Provo-Orem, UT",392,True Love Skin Care,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",393,Pretium Salt Lake,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",395,Nano9,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",396,Real Framing,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",397,"Cable Technologies, Inc.",,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",398,Rj Schinner Salt Lake City,158,169,0.9349,Warehouse,2.0130,17.753246753246753,4.1548,6704.93,3.9868,155,2020Q2
"Salt Lake City-Provo-Orem, UT",399,"Melange, LLC",,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",400,ASI Concrete,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",401,American Warehouse Services,,,,Warehouse,,,11.5000,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",405,Updike Logistics Salt Lake,159,166,0.9578,Warehouse,1.2969,17,4.8980,6539.97,1.6220,166,2020Q2
"Dallas-Fort Worth, TX-OK",406,Red River Acoustics,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",407,Bidwells Auctions,,,,,,,,,,,2020Q2
"Dallas-Fort Worth, TX-OK",408,Tribal Diagnostics,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",409,ShipStud,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",411,Elevate Health Sciences,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",412,Nature's Fusions,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",413,Aspen Press Co,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",414,Enlinx,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",415,Media Nation Outdoor,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",416,Vision Automated Fulfillment,,,,,,,,,,,2020Q2
"Salt Lake City-Provo-Orem, UT",417,Souko,77,78,0.9872,Warehouse,5.6400,15,32.3200,2362.31,1.7000,141,2020Q3
"Salt Lake City-Provo-Orem, UT",418,Beauty Depot,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",422,Liberty Restoration,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",423,AMC USA LLC,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",424,Core-Mark (SLC),,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",426,3form,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",428,Alpine Event Co.,15,15,1.0000,Events,1.6364,15,6.4615,525.39,5.0000,18,2020Q4
"Salt Lake City-Provo-Orem, UT",430,OAKI,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",431,SirsiDynix,,,,,,,,,,,2020Q3
"Dallas-Fort Worth, TX-OK",433,Show-Me Plastics,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",434,doTERRA Fulfillment Center,3225,3330,0.9685,Warehouse,17.5263,14.25263157894737,1.5700,109871.78,1.2646,3330,2020Q3
"Dallas-Fort Worth, TX-OK",437,Motivating Graphics,,,,,,,,,,,
All Other Markets Combined,439,Ed's contractors ,,,,Performance Arts,,,2.1111,,,,
"Salt Lake City-Provo-Orem, UT",439,Ed's contractors ,,,,Performance Arts,,,2.1111,,,,
"Dallas-Fort Worth, TX-OK",441,Inreach IT Solutions LLC,43,43,1.0000,Janitorial,1.0800,10.94,20.8218,505.67,3.6486,54,2021Q2
All Other Markets Combined,441,Inreach IT Solutions LLC,43,43,1.0000,Janitorial,1.0800,10.94,20.8218,505.67,3.6486,54,2021Q2
"Dallas-Fort Worth, TX-OK",444,Charter Industries,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",445,Agile Supply Chain Strategies,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",446,Powerblanket,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",448,VMN Liquids,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",449,Pharmatech,,,,,,,,,,,2020Q3
"Dallas-Fort Worth, TX-OK",450,Datascan,45,49,0.9184,Warehouse,1.3429,15,3.6600,1471.32,1.6667,47,2020Q3
"Salt Lake City-Provo-Orem, UT",451,FirstMile - CA,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",453,Datascan,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",454,Vox Fulfillment,501,512,0.9785,Warehouse,8.6909,14,5.3226,15682.47,4.8148,478,2020Q3
"Dallas-Fort Worth, TX-OK",454,Vox Fulfillment,501,512,0.9785,Warehouse,8.6909,14,5.3226,15682.47,4.8148,478,2020Q3
"Salt Lake City-Provo-Orem, UT",456,Core-Mark (OH),,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",458,Flywheel Fulfillment,,,,,,,,,,,2020Q4
"Salt Lake City-Provo-Orem, UT",459,Pharmatech Labs,271,276,0.9819,Manufacturing,5.4286,13.081632653061224,4.9815,8674.33,5.2083,266,2020Q3
"Salt Lake City-Provo-Orem, UT",460,"KNS International, LLC",1185,1247,0.9503,Warehouse,5.5964,15.650224215246636,0.7031,45759.42,1.2805,1248,2020Q3
"Salt Lake City-Provo-Orem, UT",461,McCoy's Stucco Repair,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",462,RBM Building Services,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",463,Progress MFG,70,72,0.9722,Manufacturing,1.2857,14.848214285714286,2.0843,2720.43,2.6296,72,2020Q3
"Salt Lake City-Provo-Orem, UT",464,MAG,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",465,Edge Cleaning Services,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",467,Yoodlize,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",468,My Patriot Supply,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",469,Candera,,,,,,,,,,,2020Q3
"Dallas-Fort Worth, TX-OK",472,CPAP Store Dallas,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",480,MintFulfill,3,3,1.0000,Warehouse,3.0000,16,3.0000,97.2,,3,2020Q3
"Salt Lake City-Provo-Orem, UT",491,SmarterHome,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",516,"Prime Technologies, Inc.",,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",524,Seagull Printing,,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",528,JMAC Supply,,,,,,,,,,,
"Dallas-Fort Worth, TX-OK",529,GSM Outdoors,,,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",533,"Cornaby's Specialty Foods, LLC",,,,,,,,,,,2020Q3
"Salt Lake City-Provo-Orem, UT",546,Jack R Gage Refrigeration,,,,,,,,,,,
