csa_name_mod2,company_id,company_name,shifts_worked,adjusted_head_count,fill_rate,industry_name,average_head_count,average_hourly_wage,average_shift_lead,total_net_commissionable_revenue_2023,avg_days_between_shifts
"Salt Lake City-Provo-Orem, UT",401,American Warehouse Services,,,,Warehouse,3.0000,15,11.5000,,
"Salt Lake City-Provo-Orem, UT",405,Updike Logistics Salt Lake,159,166,0.9578,Warehouse,1.2653,17,4.8980,6539.97,1.6220
"Dallas-Fort Worth, TX-OK",406,Red River Acoustics,,,,,,,,,
"Dallas-Fort Worth, TX-OK",407,Bidwells Auctions,,,,,,,,,
"Dallas-Fort Worth, TX-OK",408,Tribal Diagnostics,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",409,ShipStud,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",411,Elevate Health Sciences,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",412,Nature's Fusions,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",413,Aspen Press Co,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",414,Enlinx,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",415,Media Nation Outdoor,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",416,Vision Automated Fulfillment,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",417,Souko,77,78,0.9872,Warehouse,5.6400,15,32.3200,2362.31,1.7000
"Salt Lake City-Provo-Orem, UT",418,Beauty Depot,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",422,Liberty Restoration,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",423,AMC USA LLC,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",424,Core-Mark (SLC),,,,,,,,,
"Salt Lake City-Provo-Orem, UT",426,3form,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",428,Alpine Event Co.,15,15,1.0000,Events,1.5385,15,6.4615,525.39,5.0000
"Salt Lake City-Provo-Orem, UT",430,OAKI,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",431,SirsiDynix,,,,,,,,,
"Dallas-Fort Worth, TX-OK",433,Show-Me Plastics,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",434,doTERRA Fulfillment Center,3225,3330,0.9685,Warehouse,17.3700,14.255,1.5700,109871.78,1.2646
"Dallas-Fort Worth, TX-OK",437,Motivating Graphics,,,,,,,,,
All Other Markets Combined,439,Ed's contractors ,,,,Performance Arts,1.0000,10,2.1111,,
"Salt Lake City-Provo-Orem, UT",439,Ed's contractors ,,,,Performance Arts,1.0000,10,2.1111,,
"Dallas-Fort Worth, TX-OK",441,Inreach IT Solutions LLC,43,43,1.0000,Janitorial,1.1287,11.064356435643564,20.8218,505.67,3.6486
All Other Markets Combined,441,Inreach IT Solutions LLC,43,43,1.0000,Janitorial,1.1287,11.064356435643564,20.8218,505.67,3.6486
"Dallas-Fort Worth, TX-OK",444,Charter Industries,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",445,Agile Supply Chain Strategies,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",446,Powerblanket,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",448,VMN Liquids,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",449,Pharmatech,,,,,,,,,
"Dallas-Fort Worth, TX-OK",450,Datascan,45,49,0.9184,Warehouse,1.3600,15,3.6600,1471.32,1.6667
"Salt Lake City-Provo-Orem, UT",451,FirstMile - CA,,,,,,,,,
"Dallas-Fort Worth, TX-OK",453,Datascan,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",454,Vox Fulfillment,501,512,0.9785,Warehouse,8.4032,14,5.3226,15682.47,4.8148
"Dallas-Fort Worth, TX-OK",454,Vox Fulfillment,501,512,0.9785,Warehouse,8.4032,14,5.3226,15682.47,4.8148
"Salt Lake City-Provo-Orem, UT",456,Core-Mark (OH),,,,,,,,,
"Salt Lake City-Provo-Orem, UT",458,Flywheel Fulfillment,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",459,Pharmatech Labs,271,276,0.9819,Manufacturing,5.1111,13.092592592592593,4.9815,8674.33,5.2083
"Salt Lake City-Provo-Orem, UT",460,"KNS International, LLC",1170,1232,0.9497,Warehouse,5.1922,15.647058823529411,0.7059,45165.04,1.2903
"Salt Lake City-Provo-Orem, UT",461,McCoy's Stucco Repair,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",462,RBM Building Services,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",463,Progress MFG,70,72,0.9722,Manufacturing,1.3133,14.843373493975903,2.0843,2720.43,2.6296
"Salt Lake City-Provo-Orem, UT",464,MAG,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",465,Edge Cleaning Services,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",467,Yoodlize,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",468,My Patriot Supply,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",469,Candera,,,,,,,,,
"Dallas-Fort Worth, TX-OK",472,CPAP Store Dallas,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",480,MintFulfill,3,3,1.0000,Warehouse,3.0000,16,3.0000,97.2,
"Salt Lake City-Provo-Orem, UT",491,SmarterHome,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",516,"Prime Technologies, Inc.",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",524,Seagull Printing,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",528,JMAC Supply,,,,,,,,,
"Dallas-Fort Worth, TX-OK",529,GSM Outdoors,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",533,"Cornaby's Specialty Foods, LLC",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",546,Jack R Gage Refrigeration,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",552,Mission Belt,,,,,,,,,
All Other Markets Combined,554,Updike Logistics Nampa,,,,,,,,,
All Other Markets Combined,556,Northwest Fulfillment,440,507,0.8679,Warehouse,1.7038,14.519108280254777,4.6624,14565.87,0.8727
"Salt Lake City-Provo-Orem, UT",564,Forever Floral Inc. - Inactive,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",581,Codale Electric Supply,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",592,Testing Engineers International,,,,Manufacturing,1.0000,18,4.5000,,
"Salt Lake City-Provo-Orem, UT",602,ShopHero Inc.,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",606,Proline Range Hoods,,,,,,,,,
All Other Markets Combined,617,Western States Garage Door,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",620,Tuff Country Ez Ride Suspension,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",621,"Motorsport, Inc.",37,42,0.8810,Warehouse,3.0000,18,1.4375,1335.65,14.3077
"Salt Lake City-Provo-Orem, UT",626,MicroClimate,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",627,Budget Boys Moving,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",641,LastMile Logistix,266,271,0.9815,Warehouse,1.0951,14,14.3275,8969.22,1.2645
"Salt Lake City-Provo-Orem, UT",642,Utah Maids,,,,,,,,,
All Other Markets Combined,662,Alexander Clark Inc.,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",664,Handi Quilter,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",665,Interform,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",691,Benchmark Modern,14,14,1.0000,Construction,1.4545,20.90909090909091,7.2727,712.72,41.7143
"Salt Lake City-Provo-Orem, UT",692,Onions52,,,,,,,,,
All Other Markets Combined,698,Elite Office Suites,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",714,Elite Manufacturing and Packaging,,,,,,,,,
All Other Markets Combined,716,Start Distributing Inc.,,,,,,,,,
All Other Markets Combined,717,Atlas Resell Management,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",739,North Park Enterprises,,,,,,,,,
All Other Markets Combined,740,Scentsy,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",767,Heritage General Contactors,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",774,GSP Companies,2638,2803,0.9411,Manufacturing,5.9283,15.009733606557377,8.2500,93387.14,0.3833
"Salt Lake City-Provo-Orem, UT",786,Smith Steelworks/Powder Coating,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",797,Rosti,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",801,Aces Designs,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",805,"EnviroTech Molded Products, Inc",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",808,Z-Brothers Pizza,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",856,"Utah Roof Saver, llc",,,,,,,,,
"Salt Lake City-Provo-Orem, UT",878,Critical Laser,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",893,San Diablo Artisan Churros,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",907,Bosley Enterprises,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",910,Ridley's Family Markets Ogden,49,56,0.8750,Retail,1.5909,15,28.1364,833.02,1.1250
"Salt Lake City-Provo-Orem, UT",915,Ampersand Avenue,60,86,0.6977,Retail,2.8049,12.609756097560975,6.5122,1435.3,11.0370
All Other Markets Combined,916,Darlene's Printing,,,,,,,,,
"Salt Lake City-Provo-Orem, UT",931,Air Stop,,,,,,,,,
All Other Markets Combined,958,KimCo Design and Manufacturing,,,,,,,,,
All Other Markets Combined,975,Dixon Container Corrugated Plant,11,13,0.8462,Manufacturing,1.2000,15,2.8000,496.41,1.2500
